Word	Count
caught	6
stay	5
instead	5
struck	5
blue	5
York	5
impossible	5
period	5
sister	5
battle	5
school	5
raised	5
occasion	5
married	5
man’s	5
former	5
food	5
youth	5
learned	5
merely	5
reach	5
system	5
twenty	5
dinner	5
quiet	5
easily	5
moved	5
afterwards	5
giving	5
walk	5
stopped	5
laughed	5
language	5
expression	5
week	5
hall	5
danger	5
property	5
wonder	5
usual	5
figure	5
born	5
court	5
generally	5
grew	5
showed	5
getting	5
ancient	5
respect	5
third	5
worth	5
simple	5
tree	5
leaving	5
remain	5
society	5
fight	5
wall	5
result	5
heaven	5
started	5
command	5
tone	5
regard	5
expected	5
mere	5
month	5
beside	5
silent	5
perfect	5
experience	5
street	5
writing	5
goes	5
circumstances	5
entirely	5
fresh	5
duke	5
covered	5
bound	5
east	5
wood	5
stone	5
quickly	5
notice	5
bright	5
boat	5
noble	5
meant	5
somewhat	5
sudden	5
value	5
c.	5
direction	5
chair	5
due	5
support	5
tom	5
date	5
waiting	5
village	5
lives	5
reading	5
agree	5
lines	5
considered	5
field	5
observed	5
scarcely	5
wished	5
wait	5
greatest	5
permission	5
success	5
piece	5
British	5
ex	5
formed	5
speaking	5
trying	5
conversation	5
proper	5
hill	5
music	5
opportunity	5
that’s	5
German	5
afternoon	5
cry	5
cost	5
allowed	5
girls	5
considerable	5
broke	5
honour	5
seven	5
private	5
sit	5
news	5
top	5
scene	5
discovered	5
marriage	5
step	5
garden	5
race	5
begin	5
per	5
individual	5
sitting	5
learn	5
political	5
difficult	5
bit	5
speech	5
lie	4
cast	4
eat	4
authority	4
etc.	4
floor	4
ill	4
ways	4
officers	4
offered	4
original	4
happiness	4
flowers	4
produced	4
summer	4
provide	4
study	4
religion	4
picture	4
walls	4
personal	4
America	4
watch	4
pleased	4
leaves	4
declared	4
hot	4
understood	4
effort	4
prepared	4
escape	4
attempt	4
supposed	4
killed	4
fast	4
author	4
Indian	4
brown	4
determined	4
pain	4
spring	4
takes	4
drawn	4
soldiers	4
houses	4
beneath	4
talking	4
turning	4
century	4
steps	4
intended	4
soft	4
straight	4
matters	4
likely	4
corner	4
trademark	4
justice	4
simply	4
produce	4
trust	4
appears	4
Rome	4
laugh	4
forget	4
Europe	4
passage	4
eight	4
closed	4
ourselves	4
gives	4
dress	4
passing	4
terrible	4
required	4
medium	4
efforts	4
sake	4
breath	4
wise	4
ladies	4
possession	4
pleasant	4
perfectly	4
o’	4
memory	4
usually	4
grave	4
fixed	4
modern	4
spot	4
troops	4
rise	4
break	4
fifty	4
island	4
meeting	4
camp	4
nation	4
existence	4
reply	4
I’d	4
copies	4
sky	4
touch	4
equal	4
fortune	4
v.	4
shore	4
domain	4
named	4
situation	4
looks	4
promise	4
orders	4
degree	4
middle	4
winter	4
plan	4
spent	4
allow	4
pale	4
conduct	4
running	4
religious	4
surprise	4
minute	4
roman	4
cases	4
shot	4
lead	4
move	4
names	4
stop	4
higher	4
et	4
father’s	4
threw	4
worse	4
built	4
spoken	4
glass	4
board	4
vain	4
affairs	4
instance	4
safe	4
loss	4
doctor	4
offer	4
class	4
complete	4
access	4
lower	4
wouldn’t	4
repeated	4
forms	4
darkness	4
military	4
warm	4
drink	4
passion	4
ones	4
physical	4
example	4
ears	4
questions	4
start	4
lying	4
smiled	4
keeping	4
spite	4
shown	4
directly	4
james	4
hart	4
serious	4
hat	4
dog	4
silver	4
sufficient	4
main	4
mentioned	4
servant	4
pride	4
crowd	4
train	4
wonderful	4
moral	4
instant	4
associated	4
path	4
greek	4
meaning	4
fit	4
ordered	4
lot	4
he’s	4
proved	4
obliged	4
enter	4
rule	4
sword	4
attack	4
seat	4
game	4
health	4
paragraph	4
statement	4
social	4
refund	4
sorry	4
courage	4
members	4
grace	4
official	4
dream	4
worthy	4
rock	4
jack	4
provided	4
special	4
shook	4
request	4
mighty	4
glance	4
heads	4
movement	4
fee	4
share	4
expect	4
couldn’t	4
dollars	4
spread	4
opposite	4
glory	4
twelve	4
space	4
engaged	4
peter	4
wine	4
ordinary	4
mountains	4
taste	4
iron	4
isn’t	4
distribute	4
trade	4
consider	4
greatly	4
accepted	4
forced	4
advantage	4
ideas	4
decided	4
using	4
officer	4
rate	4
clothes	4
sign	4
feelings	4
native	4
promised	4
judge	4
difference	4
working	4
anxious	4
marry	4
captain	4
finished	4
extent	4
watched	4
curious	4
foreign	4
besides	4
method	4
